Symbol;Security;GICS_Sector;GICS Sub Industry;Location;Date first added;CIK;Founded
ECL;Ecolab Inc.;Materials;Specialty Chemicals;St. Paul, Minnesota;31/01/89;31462;
EIX;Edison Int'l;Utilities;Electric Utilities;Rosemead, California;;827052;1886
EW;Edwards Lifesciences;Health Care;Health Care Equipment;Irvine, California;01/04/11;1099800;
EA;Electronic Arts;Communication Services;Interactive Home Entertainment;Redwood City, California;22/07/02;712515;
EMR;Emerson Electric Company;Industrials;Electrical Components & Equipment;Ferguson, Missouri;31/03/65;32604;1890
ETR;Entergy Corp.;Utilities;Electric Utilities;New Orleans, Louisiana;;65984;1913
EOG;EOG Resources;Energy;Oil & Gas Exploration & Production;Houston, Texas;02/11/00;821189;
EFX;Equifax Inc.;Industrials;Research & Consulting Services;Atlanta, Georgia;19/06/97;33185;
EQIX;Equinix;Real Estate;Specialized REITs;Redwood City, California;20/03/15;1101239;
EQR;Equity Residential;Real Estate;Residential REITs;Chicago, Illinois;03/12/01;906107;
ESS;Essex Property Trust, Inc.;Real Estate;Residential REITs;Palo Alto, California;02/04/14;920522;
EL;Estee Lauder Cos.;Consumer Staples;Personal Products;New York, New York;05/01/06;1001250;
EVRG;Evergy;Utilities;Electric Utilities;Kansas City, Missouri;05/06/18;1711269;1909
ES;Eversource Energy;Utilities;Multi-Utilities;Springfield, Massachusetts;;72741;1966
RE;Everest Re Group Ltd.;Financials;Reinsurance;Hamilton, Bermuda;19/06/17;1095073;
EXC;Exelon Corp.;Utilities;Multi-Utilities;Chicago, Illinois;;1109357;2000
EXPE;Expedia Group;Consumer Discretionary;Internet & Direct Marketing Retail;Bellevue, Washington;02/10/07;1324424;
EXPD;Expeditors;Industrials;Air Freight & Logistics;Seattle, Washington;10/10/07;746515;
EXR;Extra Space Storage;Real Estate;Specialized REITs;Salt Lake City, Utah;19/01/16;1289490;
XOM;Exxon Mobil Corp.;Energy;Integrated Oil & Gas;Irving, Texas;;34088;1999
FFIV;F5 Networks;Information Technology;Communications Equipment;Seattle, Washington;20/12/10;1048695;1996
FB;Facebook, Inc.;Communication Services;Interactive Media & Services;Menlo Park, California;23/12/13;1326801;
FAST;Fastenal Co;Industrials;Building Products;Winona, Minnesota;15/09/09;815556;
FRT;Federal Realty Investment Trust;Real Estate;Retail REITs;Rockville, Maryland;01/02/16;34903;
FDX;FedEx Corporation;Industrials;Air Freight & Logistics;Memphis, Tennessee;31/12/80;1048911;
FIS;Fidelity National Information Services;Information Technology;Internet Software & Services;Jacksonville, Florida;10/11/06;1136893;
FITB;Fifth Third Bancorp;Financials;Regional Banks;Cincinnati, Ohio;;35527;1858
FE;FirstEnergy Corp;Utilities;Electric Utilities;Akron, Ohio;;1031296;1997
FISV;Fiserv Inc;Information Technology;Internet Software & Services;Brookfield, Wisconsin;02/04/01;798354;
FLT;FleetCor Technologies Inc;Information Technology;Data Processing & Outsources Services;Norcross, Georgia;20/06/18;1175454;2000
FLIR;FLIR Systems;Information Technology;Electronic Equipment & Instruments;Wilsonville, Oregon;02/01/09;354908;
FLS;Flowserve Corporation;Industrials;Industrial Machinery;Irving, Texas;02/10/08;30625;
FLR;Fluor Corp.;Industrials;Construction & Engineering;Irving, Texas;31/03/80;1124198;
FMC;FMC Corporation;Materials;Fertilizers & Agricultural Chemicals;Philadelphia, Pennsylvania;19/08/09;37785;
FL;Foot Locker Inc;Consumer Discretionary;Apparel Retail;New York, New York;04/04/16;850209;
F;Ford Motor;Consumer Discretionary;Automobile Manufacturers;Dearborn, Michigan;;37996;1903
FTNT;Fortinet;Information Technology;Systems Software;Sunnyvale, California;11/10/18;1262039;2000
FTV;Fortive Corp;Industrials;Industrial Machinery;Everett, Washington;01/07/16;1659166;
FBHS;Fortune Brands Home & Security;Industrials;Building Products;Deerfield, Illinois;22/06/16;1519751;
BEN;Franklin Resources;Financials;Asset Management & Custody Banks;San Mateo, California;;38777;1947
FCX;Freeport-McMoRan Inc.;Materials;Copper;Phoenix, Arizona;;831259;1912
GPS;Gap Inc.;Consumer Discretionary;Apparel Retail;San Francisco, California;31/08/86;39911;
GRMN;Garmin Ltd.;Consumer Discretionary;Consumer Electronics;Schaffhausen, Switzerland;12/12/12;1121788;
IT;Gartner Inc;Information Technology;IT Consulting & Other Services;Stamford, Connecticut;05/04/17;749251;
GD;General Dynamics;Industrials;Aerospace & Defense;Falls Church, Virginia;;40533;1899
GE;General Electric;Industrials;Industrial Conglomerates;Boston, Massachusetts;;40545;1892
GIS;General Mills;Consumer Staples;Packaged Foods & Meats;Golden Valley, Minnesota;31/03/69;40704;1856
GM;General Motors;Consumer Discretionary;Automobile Manufacturers;Detroit, Michigan;06/06/13;1467858;
GPC;Genuine Parts;Consumer Discretionary;Specialty Stores;Atlanta, Georgia;31/12/73;40987;1925
GILD;Gilead Sciences;Health Care;Biotechnology;Foster City, California;01/07/04;882095;
GPN;Global Payments Inc.;Information Technology;Data Processing & Outsourced Services;Atlanta, Georgia;25/04/16;1123360;
GS;Goldman Sachs Group;Financials;Investment Banking & Brokerage;New York, New York;22/07/02;886982;
GT;Goodyear Tire & Rubber;Consumer Discretionary;Tires & Rubber;Akron, Ohio;;42582;1898
GWW;Grainger (W.W.) Inc.;Industrials;Industrial Machinery;Lake Forest, Illinois;30/06/81;277135;
HAL;Halliburton Co.;Energy;Oil & Gas Equipment & Services;Houston, Texas;;45012;1919
HBI;Hanesbrands Inc;Consumer Discretionary;Apparel, Accessories & Luxury Goods;Winston-Salem, North Carolina;20/03/15;1359841;
HOG;Harley-Davidson;Consumer Discretionary;Motorcycle Manufacturers;Milwaukee, Wisconsin;;793952;1903
HRS;Harris Corporation;Industrials;Aerospace & Defense;Melbourne, Florida;22/09/08;202058;
HIG;Hartford Financial Svc.Gp.;Financials;Property & Casualty Insurance;Hartford, Connecticut;;874766;
HAS;Hasbro Inc.;Consumer Discretionary;Leisure Products;Pawtucket, Rhode Island;30/09/84;46080;
HCA;HCA Holdings;Health Care;Health Care Facilities;Nashville, Tennessee;27/01/15;860730;
HCP;HCP Inc.;Real Estate;Health Care REITs;Long Beach, California;31/03/08;765880;
HP;Helmerich & Payne;Energy;Oil & Gas Drilling;Tulsa, Oklahoma[7];01/03/10;46765;
HSIC;Henry Schein;Health Care;Health Care Distributors;Melville, New York;17/03/15;1000228;
HSY;The Hershey Company;Consumer Staples;Packaged Foods & Meats;Hershey, Pennsylvania;;47111;1894
HES;Hess Corporation;Energy;Integrated Oil & Gas;New York, New York;31/05/84;4447;
HPE;Hewlett Packard Enterprise;Information Technology;Technology Hardware, Storage & Peripherals;Palo Alto, California;02/11/15;1645590;
HLT;Hilton Worldwide Holdings Inc;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Tysons Corner, Virginia;19/06/17;1585689;
HFC;HollyFrontier Corp;Energy;Oil & Gas Refining & Marketing;Dallas, Texas;18/06/18;48039;1947
HOLX;Hologic;Health Care;Health Care Equipment;Marlborough, Massachusetts;30/03/16;859737;
HD;Home Depot;Consumer Discretionary;Home Improvement Retail;Atlanta, Georgia;31/03/88;354950;
HON;Honeywell Int'l Inc.;Industrials;Industrial Conglomerates;Morristown, New Jersey;31/03/64;773840;1906
HRL;Hormel Foods Corp.;Consumer Staples;Packaged Foods & Meats;Austin, Minnesota;04/03/09;48465;
HST;Host Hotels & Resorts;Real Estate;Hotel & Resort REITs;Bethesda, Maryland;20/03/07;1070750;
HPQ;HP Inc.;Information Technology;Technology Hardware, Storage & Peripherals;Palo Alto, California;31/12/74;47217;1939 (2015)
HUM;Humana Inc.;Health Care;Managed Health Care;Louisville, Kentucky;;49071;1961
HBAN;Huntington Bancshares;Financials;Regional Banks;Columbus, Ohio;;49196;1866
HII;Huntington Ingalls Industries;Industrials;Aerospace & Defense;Newport News, Virginia;03/01/18;1501585;
IDXX;IDEXX Laboratories;Health Care;Health Care Equipment;Westbrook, Maine;05/01/17;874716;
INFO;IHS Markit Ltd.;Industrials;Research & Consulting Services;London, United Kingdom;02/06/17;1598014;
ITW;Illinois Tool Works;Industrials;Industrial Machinery;Glenview, Illinois;28/02/86;49826;
ILMN;Illumina Inc;Health Care;Life Sciences Tools & Services;San Diego, California;19/11/15;1110803;
IR;Ingersoll-Rand PLC;Industrials;Industrial Machinery;Dublin, Ireland;17/11/10;1466258;
INTC;Intel Corp.;Information Technology;Semiconductors;Santa Clara, California;31/12/76;50863;
ICE;Intercontinental Exchange;Financials;Financial Exchanges & Data;Atlanta, Georgia;26/09/07;1571949;
IBM;International Business Machines;Information Technology;IT Consulting & Other Services;Armonk, New York;;51143;1911
INCY;Incyte;Health Care;Biotechnology;Wilmington, Delaware;28/02/17;879169;
IP;International Paper;Materials;Paper Packaging;Memphis, Tennessee;;51434;1898
IPG;Interpublic Group;Communication Services;Advertising;New York, New York;01/10/92;51644;
IFF;Intl Flavors & Fragrances;Materials;Specialty Chemicals;New York, New York;31/03/76;51253;
INTU;Intuit Inc.;Information Technology;Internet Software & Services;Mountain View, California;05/12/00;896878;
ISRG;Intuitive Surgical Inc.;Health Care;Health Care Equipment;Sunnyvale, California;02/06/08;1035267;
IVZ;Invesco Ltd.;Financials;Asset Management & Custody Banks;Atlanta, Georgia;21/08/08;914208;
IPGP;IPG Photonics Corp.;Information Technology;Electronic Manufacturing Services;Oxford, Massachusetts;07/03/18;1111928;
IQV;IQVIA Holdings Inc.;Health Care;Life Sciences Tools & Service;Durham, North Carolina;29/08/17;1478242;
IRM;Iron Mountain Incorporated;Real Estate;Specialized REITs;Boston, Massachusetts;06/01/09;1020569;
JKHY;Jack Henry & Associates Inc;Information Technology;Data Processing & Outsourced Services;Monett, Missouri;13/11/18;1262439;
JEC;Jacobs Engineering Group;Industrials;Construction & Engineering;Pasadena, California;26/10/07;52988;
JBHT;J. B. Hunt Transport Services;Industrials;Trucking;Lowell, Arkansas;01/07/15;728535;
JEF;Jefferies Financial Group;Financials;Multi-Sector Holdings;New York, New York;27/08/07;96223;
SJM;JM Smucker;Consumer Staples;Packaged Foods & Meats;Orrville, Ohio;06/11/08;91419;
JNJ;Johnson & Johnson;Health Care;Health Care Equipment;New Brunswick, New Jersey;30/06/73;200406;1886
JCI;Johnson Controls International;Industrials;Building Products;Cork, Ireland;27/08/10;833444;
JPM;JPMorgan Chase & Co.;Financials;Diversified Banks;New York, New York;30/06/75;19617;
JNPR;Juniper Networks;Information Technology;Communications Equipment;Sunnyvale, California;;1043604;1996
KSU;Kansas City Southern;Industrials;Railroads;Kansas City, Missouri;24/05/13;54480;
K;Kellogg Co.;Consumer Staples;Packaged Foods & Meats;Battle Creek, Michigan;;55067;1906
KEY;KeyCorp;Financials;Regional Banks;Cleveland, Ohio;01/03/94;91576;
KEYS;Keysight Technologies;Information Technology;Electronic Equipment & Instruments;Santa Rosa, California;06/11/18;1601046;2014
KMB;Kimberly-Clark;Consumer Staples;Household Products;Irving, Texas;;55785;1872
KIM;Kimco Realty;Real Estate;Retail REITs;New Hyde Park, New York;04/04/06;879101;
KMI;Kinder Morgan;Energy;Oil & Gas Storage & Transportation;Houston, Texas;25/05/12;1506307;
KLAC;KLA-Tencor Corp.;Information Technology;Semiconductor Equipment;Milpitas, California;;319201;1975/1977 (1997)
KSS;Kohl's Corp.;Consumer Discretionary;General Merchandise Stores;Menomonee Falls, Wisconsin;;885639;1962
KHC;Kraft Heinz Co;Consumer Staples;Packaged Foods & Meats;Pittsburgh, Pennsylvania;06/07/15;1637459;
KR;Kroger Co.;Consumer Staples;Food Retail;Cincinnati, Ohio;;56873;1883
LB;L Brands Inc.;Consumer Discretionary;Apparel Retail;Columbus, Ohio;30/09/83;701985;
LLL;L-3 Communications Holdings;Industrials;Aerospace & Defense;New York, New York;;1056239;1997
LH;Laboratory Corp. of America Holding;Health Care;Health Care Services;Burlington, North Carolina;01/11/04;920148;
LRCX;Lam Research;Information Technology;Semiconductor Equipment;Fremont, California;29/06/12;707549;
LW;Lamb Weston Holdings Inc;Consumer Staples;Packaged Foods & Meats;Eagle, Idaho;03/12/18;1679273;
LEG;Leggett & Platt;Consumer Discretionary;Home Furnishings;Carthage, Missouri;;58492;1883
LEN;Lennar Corp.;Consumer Discretionary;Homebuilding;Miami, Florida;04/10/05;920760;
LLY;Lilly (Eli) & Co.;Health Care;Pharmaceuticals;Indianapolis, Indiana;31/12/70;59478;1876
LNC;Lincoln National;Financials;Multi-line Insurance;Radnor, Pennsylvania;30/06/76;59558;
LIN;Linde plc;Materials;Industrial Gases;Guildford, Surrey, United Kingdom;01/07/92;1707925;
LKQ;LKQ Corporation;Consumer Discretionary;Distributors;Chicago, Illinois;23/05/16;1065696;
LMT;Lockheed Martin Corp.;Industrials;Aerospace & Defense;Bethesda, Maryland;31/07/84;936468;
L;Loews Corp.;Financials;Multi-line Insurance;New York, New York;;60086;
LOW;Lowe's Cos.;Consumer Discretionary;Home Improvement Retail;Mooresville, North Carolina;29/02/84;60667;1904/1946/1959
LYB;LyondellBasell;Materials;Specialty Chemicals;Rotterdam, Netherlands;05/09/12;1489393;
MTB;M&T Bank Corp.;Financials;Regional Banks;Buffalo, New York;;36270;1856
MAC;Macerich;Real Estate;Retail REITs;Santa Monica, California;09/05/13;912242;
M;Macy's Inc.;Consumer Discretionary;Department Stores;Cincinnati, Ohio;;794367;1929
MRO;Marathon Oil Corp.;Energy;Oil & Gas Exploration & Production;Houston, Texas;01/05/91;101778;
MPC;Marathon Petroleum;Energy;Oil & Gas Refining & Marketing;Findlay, Ohio;01/07/11;1510295;
MAR;Marriott Int'l.;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Bethesda, Maryland;;1048286;1927
MMC;Marsh & McLennan;Financials;Insurance Brokers;New York, New York;31/08/87;62709;
MLM;Martin Marietta Materials;Materials;Construction Materials;Raleigh, North Carolina;02/07/14;916076;
MAS;Masco Corp.;Industrials;Building Products;Taylor, Michigan;30/06/81;62996;
MA;Mastercard Inc.;Information Technology;Internet Software & Services;Harrison, New York;18/07/08;1141391;
MAT;Mattel Inc.;Consumer Discretionary;Leisure Products;El Segundo, California;31/03/82;63276;
MKC;McCormick & Co.;Consumer Staples;Packaged Foods & Meats;Sparks, Maryland;;63754;1889
MXIM;Maxim Integrated Products Inc;Information Technology;Semiconductors;San Jose, California;03/12/18;743316;1983
MCD;McDonald's Corp.;Consumer Discretionary;Restaurants;Chicago, Illinois;30/06/70;63908;1940
MCK;McKesson Corp.;Health Care;Health Care Distributors;San Francisco, California;;927653;1833
MDT;Medtronic plc;Health Care;Health Care Equipment;Dublin, Ireland;31/10/86;64670;
MRK;Merck & Co.;Health Care;Pharmaceuticals;Whitehouse Station, New Jersey;;310158;1891
MET;MetLife Inc.;Financials;Life & Health Insurance;New York, New York;;1099219;1868
MTD;Mettler Toledo;Health Care;Life Sciences Tools & Services;Columbus, Ohio;06/09/16;1037646;
MGM;MGM Resorts International;Consumer Discretionary;Casinos & Gaming;Paradise, Nevada;26/07/17;789570;
KORS;Michael Kors Holdings;Consumer Discretionary;Apparel, Accessories & Luxury Goods;New York, New York;13/11/13;1530721;
MCHP;Microchip Technology;Information Technology;Semiconductors;Chandler, Arizona;07/09/07;827054;
MU;Micron Technology;Information Technology;Semiconductors;Boise, Idaho;27/09/94;723125;
MSFT;Microsoft Corp.;Information Technology;Systems Software;Redmond, Washington;01/06/94;789019;1975
MAA;Mid-America Apartments;Real Estate;Residential REITs;Memphis, Tennessee;02/12/16;912595;
MHK;Mohawk Industries;Consumer Discretionary;Home Furnishings;Amsterdam, New York;23/12/13;851968;
TAP;Molson Coors Brewing Company;Consumer Staples;Brewers;Denver, Colorado;30/06/76;24545;
MDLZ;Mondelez International;Consumer Staples;Packaged Foods & Meats;Northfield, Illinois;02/10/12;1103982;
MNST;Monster Beverage;Consumer Staples;Soft Drinks;Corona, California;28/06/12;865752;
MCO;Moody's Corp;Financials;Financial Exchanges & Data;New York, New York;;1059556;1909
MS;Morgan Stanley;Financials;Investment Banking & Brokerage;New York, New York;;895421;1935
MOS;The Mosaic Company;Materials;Fertilizers & Agricultural Chemicals;Plymouth, Minnesota;26/09/11;1285785;
MSI;Motorola Solutions Inc.;Information Technology;Communications Equipment;Schaumburg, Illinois;;68505;1928 (2011)
MSCI;MSCI Inc;Financials;Financial Exchanges & Data;New York, New York;04/04/18;1408198;
MYL;Mylan N.V.;Health Care;Pharmaceuticals;Amsterdam, Netherlands;23/04/04;69499;
NDAQ;Nasdaq, Inc.;Financials;Financial Exchanges & Data;New York, New York;22/10/08;1120193;
NOV;National Oilwell Varco Inc.;Energy;Oil & Gas Equipment & Services;Houston, Texas;14/03/05;1021860;
NKTR;Nektar Therapeutics;Health Care;Pharmaceuticals;San Francisco, California;19/03/18;906709;
NTAP;NetApp;Information Technology;Internet Software & Services;Sunnyvale, California;25/06/99;1002047;
NFLX;Netflix Inc.;Communication Services;Movies & Entertainment;Los Gatos, California;20/12/10;1065280;1997
NWL;Newell Brands;Consumer Discretionary;Housewares & Specialties;Sandy Springs, Georgia;30/04/89;814453;
NFX;Newfield Exploration Co;Energy;Oil & Gas Exploration & Production;Houston, Texas;20/12/10;912750;
NEM;Newmont Mining Corporation;Materials;Gold;Denver, Colorado;30/06/69;1164727;1921
NWSA;News Corp. Class A;Communication Services;Publishing;New York, New York;01/08/13;1564708;
NWS;News Corp. Class B;Communication Services;Publishing;New York, New York;18/09/15;1564708;
NEE;NextEra Energy;Utilities;Multi-Utilities;Juno Beach, Florida;30/06/76;753308;
NLSN;Nielsen Holdings;Industrials;Research & Consulting Services;New York, New York;09/07/13;1492633;
NKE;Nike;Consumer Discretionary;Apparel, Accessories & Luxury Goods;Washington County, Oregon;30/11/88;320187;
NI;NiSource Inc.;Utilities;Multi-Utilities;Merrillville, Indiana;;1111711;1912
NBL;Noble Energy Inc;Energy;Oil & Gas Exploration & Production;Houston, Texas;08/10/07;72207;
JWN;Nordstrom;Consumer Discretionary;Department Stores;Seattle, Washington;31/08/86;72333;
NSC;Norfolk Southern Corp.;Industrials;Railroads;Norfolk, Virginia;;702165;1881/1894 (1980)
NTRS;Northern Trust Corp.;Financials;Asset Management & Custody Banks;Chicago, Illinois;;73124;1889
NOC;Northrop Grumman Corp.;Industrials;Aerospace & Defense;West Falls Church, Virginia;30/06/85;1133421;
NCLH;Norwegian Cruise Line;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Miami, Florida;13/10/17;1513761;
NRG;NRG Energy;Utilities;Independent Power Producers & Energy Traders;Princeton, New Jersey;29/01/10;1013871;
NUE;Nucor Corp.;Materials;Steel;Charlotte, North Carolina;30/04/85;73309;
NVDA;Nvidia Corporation;Information Technology;Semiconductors;Santa Clara, California;30/11/01;1045810;
ORLY;O'Reilly Automotive;Consumer Discretionary;Specialty Stores;Springfield, Missouri;27/03/09;898173;
OXY;Occidental Petroleum;Energy;Oil & Gas Exploration & Production;Los Angeles, California;31/12/82;797468;
OMC;Omnicom Group;Communication Services;Advertising;New York, New York;;29989;1986
OKE;ONEOK;Energy;Oil & Gas Storage & Transportation;Tulsa, Oklahoma;15/03/10;1039684;
ORCL;Oracle Corp.;Information Technology;Application Software;Redwood Shores, California;31/08/89;1341439;
PCAR;PACCAR Inc.;Industrials;Construction Machinery & Heavy Trucks;Bellevue, Washington;31/12/80;75362;
PKG;Packaging Corporation of America;Materials;Paper Packaging;Lake Forest, Illinois;26/07/17;75677;
PH;Parker-Hannifin;Industrials;Industrial Machinery;Cleveland, Ohio;30/11/85;76334;
PAYX;Paychex Inc.;Information Technology;Internet Software & Services;Penfield, New York;;723531;1971
PYPL;PayPal;Information Technology;Data Processing & Outsourced Services;San Jose, California;20/07/15;1633917;
PNR;Pentair plc;Industrials;Industrial Machinery;Worsley, UK;01/10/12;77360;
PBCT;People's United Financial;Financials;Thrifts & Mortgage Finance;Bridgeport, Connecticut;13/11/08;1378946;
PEP;PepsiCo Inc.;Consumer Staples;Soft Drinks;Purchase, New York;;77476;1898
PKI;PerkinElmer;Health Care;Health Care Equipment;Waltham, Massachusetts;31/05/85;31791;
PRGO;Perrigo;Health Care;Pharmaceuticals;Dublin, Ireland;19/12/11;1585364;
PFE;Pfizer Inc.;Health Care;Pharmaceuticals;New York, New York;;78003;1849
PCG;PG&E Corp.;Utilities;Multi-Utilities;San Francisco, California;;1004980;1905
PM;Philip Morris International;Consumer Staples;Tobacco;New York, New York;31/03/08;1413329;
PSX;Phillips 66;Energy;Oil & Gas Refining & Marketing;Houston, Texas;01/05/12;1534701;
PNW;Pinnacle West Capital;Utilities;Multi-Utilities;Phoenix, Arizona;;764622;1985
PXD;Pioneer Natural Resources;Energy;Oil & Gas Exploration & Production;Irving, Texas;24/09/08;1038357;
PNC;PNC Financial Services;Financials;Regional Banks;Pittsburgh, Pennsylvania;30/04/88;713676;
RL;Polo Ralph Lauren Corp.;Consumer Discretionary;Apparel, Accessories & Luxury Goods;New York, New York;02/02/07;1037038;
